Phase,File,Sent Id,Sentence Length,Discourse Marker,Part of Speech
1,hi_1385_gold.conllu,436,10,to,PART
1,hi_1385_gold.conllu,437,7,na,PART
1,hi_1385_gold.conllu,439,11,to,PART
1,hi_1385_gold.conllu,451,7,na,PART
1,hi_1385_gold.conllu,474,13,hi,PART
1,hi_1385_gold.conllu,483,9,bhi,PART
1,hi_1385_gold.conllu,503,9,to,PART
1,hi_1385_gold.conllu,529,10,hi,PART
1,hi_1385_gold.conllu,536,8,bhi,PART
1,hi_4370_gold.conllu,3,6,bhi,PART
1,hi_4370_gold.conllu,5,9,hi,PART
1,hi_4370_gold.conllu,7,7,hi,PART
1,hi_4370_gold.conllu,9,7,hi,PART
1,hi_4370_gold.conllu,12,5,to,PART
1,hi_4370_gold.conllu,13,5,bhi,PART
1,hi_4370_gold.conllu,16,8,to,PART
1,hi_4370_gold.conllu,17,9,to,PART
1,hi_4370_gold.conllu,19,13,bhi,PART
1,hi_4370_gold.conllu,24,4,bhi,PART
1,hi_4370_gold.conllu,29,6,bhi,PART
1,hi_4370_gold.conllu,30,11,to,PART
1,hi_4370_gold.conllu,32,9,to,PART
1,hi_4370_gold.conllu,38,5,bhi,PART
1,hi_4370_gold.conllu,39,6,bhi,PART
1,hi_4370_gold.conllu,40,7,hi,PART
1,hi_4370_gold.conllu,44,7,bhi,PART
1,hi_4370_gold.conllu,46,10,bhi,PART
1,hi_4370_gold.conllu,54,10,hi,PART
1,hi_4370_gold.conllu,57,5,bhi,PART
1,hi_4370_gold.conllu,65,5,to,PART
1,hi_4370_gold.conllu,70,8,to,PART
1,hi_4370_gold.conllu,72,11,to,PART
1,hi_4370_gold.conllu,76,9,bhi,PART
1,hi_4370_gold.conllu,82,19,hi,PART
1,hi_4370_gold.conllu,92,15,to,PART
1,hi_4370_gold.conllu,93,10,hi,PART
1,hi_4370_gold.conllu,96,6,na,PART
1,hi_4370_gold.conllu,119,9,to,PART
1,hi_4370_gold.conllu,121,14,na,PART
1,hi_4370_gold.conllu,122,10,hi,PART
1,hi_4370_gold.conllu,131,8,na,PART
1,hi_4370_gold.conllu,156,5,hi,PART
1,hi_4370_gold.conllu,157,8,hi,PART
1,hi_4370_gold.conllu,160,6,bhi,PART
1,hi_4370_gold.conllu,164,19,hi,PART
1,hi_4370_gold.conllu,165,7,to,PART
1,hi_4370_gold.conllu,168,5,to,PART
1,hi_4370_gold.conllu,175,5,bhi,PART
1,hi_4370_gold.conllu,178,5,bhi,PART
1,hi_4370_gold.conllu,181,19,bhi,PART
1,hi_4370_gold.conllu,183,6,bhi,PART
1,hi_4370_gold.conllu,188,8,to,PART
1,hi_4370_gold.conllu,191,4,na,PART
1,hi_4370_gold.conllu,196,7,bhi,PART
1,hi_4370_gold.conllu,203,8,na,PART
1,hi_4370_gold.conllu,208,8,to,PART
1,hi_4370_gold.conllu,209,15,bhi,PART
1,hi_4370_gold.conllu,216,5,hi,PART
1,hi_4370_gold.conllu,217,18,to,PART
1,hi_4370_gold.conllu,226,7,na,PART
1,hi_4370_gold.conllu,233,6,to,PART
1,hi_4370_gold.conllu,243,6,bhi,PART
1,hi_4370_gold.conllu,251,9,to,PART
1,hi_4370_gold.conllu,260,9,na,PART
1,hi_4370_gold.conllu,264,4,to,PART
1,hi_4370_gold.conllu,267,6,na,PART
1,hi_4370_gold.conllu,276,5,hi,PART
1,hi_4370_gold.conllu,279,13,to,PART
1,hi_4370_gold.conllu,282,14,hi,PART
1,hi_4370_gold.conllu,284,13,bhi,PART
1,hi_4370_gold.conllu,289,9,bhi,PART
1,hi_4370_gold.conllu,303,8,hi,PART
1,hi_4370_gold.conllu,304,12,hi,PART
1,hi_4370_gold.conllu,307,11,na,PART
1,hi_4370_gold.conllu,316,27,to,PART
1,hi_4370_gold.conllu,321,18,to,PART
1,hi_4370_gold.conllu,329,11,to,PART
1,hi_4370_gold.conllu,333,12,to,PART
1,hi_4370_gold.conllu,334,13,hi,PART
1,hi_4370_gold.conllu,336,26,hi,PART
1,hi_4370_gold.conllu,337,10,to,PART
1,hi_4370_gold.conllu,342,10,hi,PART
1,hi_4370_gold.conllu,350,7,bhi,PART
1,hi_4370_gold.conllu,355,5,bhi,PART
1,hi_4370_gold.conllu,357,8,bhi,PART
1,hi_4370_gold.conllu,378,10,na,PART
1,hi_4370_gold.conllu,387,10,hi,PART
1,hi_4370_gold.conllu,389,21,bhi,PART
1,hi_4370_gold.conllu,399,11,na,PART
1,hi_4370_gold.conllu,401,5,hi,PART
1,hi_4370_gold.conllu,403,8,bhi,PART
1,hi_4370_gold.conllu,445,9,bhi,PART
1,hi_4370_gold.conllu,449,13,to,PART
1,hi_4370_gold.conllu,453,6,bhi,PART
1,hi_4370_gold.conllu,466,5,to,PART
1,hi_4370_gold.conllu,471,9,to,PART
1,hi_4370_gold.conllu,472,7,bhi,PART
1,hi_4370_gold.conllu,473,4,to,PART
1,hi_4370_gold.conllu,475,9,hi,PART
1,hi_4370_gold.conllu,489,7,na,PART
1,hi_4370_gold.conllu,492,8,to,PART
1,hi_4370_gold.conllu,512,10,hi,PART
1,hi_4370_gold.conllu,516,6,hi,PART
1,hi_4370_gold.conllu,548,25,na,PART
1,hi_4370_gold.conllu,552,9,bhi,PART
1,hi_6322_gold.conllu,28,13,na,PART
1,hi_6322_gold.conllu,34,12,to,PART
1,hi_6322_gold.conllu,36,8,bhi,PART
1,hi_6322_gold.conllu,38,3,na,PART
1,hi_6322_gold.conllu,40,6,bhi,PART
1,hi_6322_gold.conllu,41,7,to,PART
1,hi_6322_gold.conllu,42,13,to,PART
1,hi_6322_gold.conllu,45,10,na,PART
1,hi_6322_gold.conllu,47,12,bhi,PART
1,hi_6322_gold.conllu,52,3,na,PART
1,hi_6322_gold.conllu,59,6,to,PART
1,hi_6322_gold.conllu,64,6,na,PART
1,hi_6322_gold.conllu,67,6,to,PART
1,hi_6322_gold.conllu,74,6,to,PART
1,hi_6322_gold.conllu,80,6,na,PART
1,hi_6322_gold.conllu,84,6,hi,PART
1,hi_6322_gold.conllu,85,8,to,PART
1,hi_6322_gold.conllu,86,9,na,PART
1,hi_6322_gold.conllu,91,7,to,PART
1,hi_6322_gold.conllu,94,8,na,PART
1,hi_6322_gold.conllu,96,10,na,PART
1,hi_6322_gold.conllu,98,8,bhi,PART
1,hi_6322_gold.conllu,100,12,na,PART
1,hi_6322_gold.conllu,106,18,na,PART
1,hi_6322_gold.conllu,112,3,na,PART
1,hi_6322_gold.conllu,115,7,bhi,PART
1,hi_6322_gold.conllu,116,25,to,PART
1,hi_6322_gold.conllu,118,5,hi,PART
1,hi_6322_gold.conllu,120,13,to,PART
1,hi_6322_gold.conllu,122,18,to,PART
1,hi_6322_gold.conllu,123,26,bhi,PART
1,hi_6322_gold.conllu,125,10,to,PART
1,hi_6322_gold.conllu,128,6,bhi,PART
1,hi_6322_gold.conllu,133,19,hi,PART
1,hi_6322_gold.conllu,134,15,hi,PART
1,hi_6322_gold.conllu,138,9,hi,PART
1,hi_6322_gold.conllu,140,15,to,PART
1,hi_6322_gold.conllu,144,6,bhi,PART
1,hi_6322_gold.conllu,150,9,to,PART
1,hi_6322_gold.conllu,151,7,na,PART
1,hi_6322_gold.conllu,156,6,bhi,PART
1,hi_6322_gold.conllu,157,8,to,PART
1,hi_6322_gold.conllu,160,7,bhi,PART
1,hi_6322_gold.conllu,163,10,bhi,PART
1,hi_6322_gold.conllu,166,8,bhi,PART
1,hi_6322_gold.conllu,167,9,to,PART
1,hi_6322_gold.conllu,170,10,to,PART
1,hi_6322_gold.conllu,171,9,na,PART
1,hi_6322_gold.conllu,173,12,bhi,PART
1,hi_6322_gold.conllu,178,10,na,PART
1,hi_6322_gold.conllu,189,3,na,PART
1,hi_6322_gold.conllu,190,5,na,PART
1,hi_6322_gold.conllu,199,3,na,PART
1,hi_6322_gold.conllu,202,4,hi,PART
1,hi_6322_gold.conllu,203,10,to,PART
1,hi_6322_gold.conllu,208,14,na,PART
1,hi_6322_gold.conllu,209,7,to,PART
1,hi_6322_gold.conllu,210,12,na,PART
1,hi_6322_gold.conllu,211,7,bhi,PART
1,hi_6322_gold.conllu,213,4,bhi,PART
1,hi_6322_gold.conllu,227,8,to,PART
1,hi_6322_gold.conllu,231,6,bhi,PART
1,hi_6322_gold.conllu,235,12,na,PART
1,hi_6322_gold.conllu,244,12,na,PART
1,hi_6322_gold.conllu,247,7,bhi,PART
1,hi_6322_gold.conllu,248,7,hi,PART
1,hi_6322_gold.conllu,249,7,hi,PART
1,hi_6322_gold.conllu,252,10,bhi,PART
1,hi_6322_gold.conllu,253,12,bhi,PART
1,hi_6322_gold.conllu,259,7,bhi,PART
1,hi_6322_gold.conllu,264,5,hi,PART
1,hi_6322_gold.conllu,265,5,to,PART
1,hi_6322_gold.conllu,268,5,to,PART
1,hi_6322_gold.conllu,269,7,to,PART
1,hi_6322_gold.conllu,277,9,to,PART
1,hi_6322_gold.conllu,281,4,hi,PART
1,hi_6322_gold.conllu,282,11,bhi,PART
1,hi_6322_gold.conllu,284,13,bhi,PART
1,hi_6322_gold.conllu,285,8,to,PART
1,hi_6322_gold.conllu,286,3,na,PART
1,hi_6322_gold.conllu,289,7,na,PART
1,hi_6322_gold.conllu,290,7,hi,PART
1,hi_6322_gold.conllu,293,7,bhi,PART
1,hi_6322_gold.conllu,304,5,na,PART
1,hi_6322_gold.conllu,306,8,to,PART
1,hi_6322_gold.conllu,308,7,na,PART
1,hi_6322_gold.conllu,309,9,to,PART
1,hi_6322_gold.conllu,313,11,hi,PART
1,hi_6322_gold.conllu,326,6,to,PART
1,hi_6322_gold.conllu,337,6,to,PART
1,hi_6322_gold.conllu,352,16,bhi,PART
1,hi_6322_gold.conllu,353,5,bhi,PART
1,hi_6322_gold.conllu,354,5,na,PART
1,hi_6322_gold.conllu,355,7,na,PART
1,hi_6322_gold.conllu,365,5,hi,PART
1,hi_6322_gold.conllu,366,11,to,PART
1,hi_6322_gold.conllu,368,8,bhi,PART
1,hi_6322_gold.conllu,369,9,bhi,PART
1,hi_6322_gold.conllu,371,5,to,PART
1,hi_6322_gold.conllu,372,17,to,PART
1,hi_6322_gold.conllu,377,7,bhi,PART
1,hi_6322_gold.conllu,379,8,to,PART
1,hi_6322_gold.conllu,380,8,na,PART
1,hi_6322_gold.conllu,381,9,na,PART
1,hi_6322_gold.conllu,382,5,to,PART
1,hi_6322_gold.conllu,390,9,bhi,PART
1,hi_6322_gold.conllu,392,3,na,PART
1,hi_6322_gold.conllu,393,7,na,PART
1,hi_6322_gold.conllu,399,6,to,PART
1,hi_6322_gold.conllu,400,5,hi,PART
1,hi_6322_gold.conllu,406,12,bhi,PART
1,hi_6322_gold.conllu,410,13,to,PART
1,hi_6322_gold.conllu,414,14,na,PART
1,hi_6322_gold.conllu,432,6,to,PART
1,hi_6322_gold.conllu,438,9,na,PART
1,hi_6322_gold.conllu,441,5,to,PART
1,hi_6322_gold.conllu,442,5,hi,PART
1,hi_6322_gold.conllu,446,6,na,PART
1,hi_6322_gold.conllu,474,18,bhi,PART
1,hi_6322_gold.conllu,475,7,bhi,PART
1,hi_6322_gold.conllu,476,8,bhi,PART
1,hi_6322_gold.conllu,478,8,bhi,PART
1,hi_6322_gold.conllu,479,8,bhi,PART
1,hi_6322_gold.conllu,489,4,bhi,PART
1,hi_6322_gold.conllu,491,14,to,PART
1,hi_6322_gold.conllu,494,11,bhi,PART
1,hi_6322_gold.conllu,497,5,hi,PART
1,hi_6322_gold.conllu,507,8,na,PART
1,hi_6322_gold.conllu,529,7,to,PART
1,hi_6322_gold.conllu,544,8,na,PART
1,hi_6322_gold.conllu,557,16,hi,PART
1,hi_6322_gold.conllu,559,8,to,PART
1,hi_6322_gold.conllu,563,12,bhi,PART
1,hi_6322_gold.conllu,580,9,to,PART
1,hi_6322_gold.conllu,581,16,to,PART
1,hi_6322_gold.conllu,596,8,bhi,PART
1,hi_6322_gold.conllu,608,13,to,PART
1,hi_6322_gold.conllu,613,10,to,PART
1,hi_6322_gold.conllu,633,17,to,PART
1,hi_6322_gold.conllu,639,14,to,PART
1,hi_6322_gold.conllu,642,9,bhi,PART
1,hi_6322_gold.conllu,643,11,bhi,PART
1,hi_6322_gold.conllu,653,7,to,PART
1,hi_6322_gold.conllu,659,3,hi,PART
1,hi_6322_gold.conllu,662,11,hi,PART
1,hi_6322_gold.conllu,667,9,to,PART
1,hi_6322_gold.conllu,686,11,to,PART
1,hi_6322_gold.conllu,693,8,bhi,PART
1,hi_6322_gold.conllu,696,9,hi,PART
1,hi_6322_gold.conllu,714,5,hi,PART
1,hi_6322_gold.conllu,715,8,to,PART
1,hi_6322_gold.conllu,716,8,na,PART
1,hi_6322_gold.conllu,718,8,hi,PART
1,hi_6322_gold.conllu,722,12,to,PART
1,hi_6322_gold.conllu,725,6,to,PART
1,hi_6322_gold.conllu,730,3,na,PART
1,hi_6322_gold.conllu,745,7,na,PART
1,hi_6435_gold.conllu,21,11,hi,PART
1,hi_6435_gold.conllu,34,4,hi,PART
1,hi_6435_gold.conllu,38,14,to,PART
1,hi_6435_gold.conllu,42,9,na,PART
1,hi_6435_gold.conllu,44,6,to,PART
1,hi_6435_gold.conllu,47,6,bhi,PART
1,hi_6435_gold.conllu,51,9,bhi,PART
1,hi_6435_gold.conllu,60,10,to,PART
1,hi_6435_gold.conllu,68,9,bhi,PART
1,hi_6435_gold.conllu,71,11,to,PART
1,hi_6435_gold.conllu,76,5,na,PART
1,hi_6435_gold.conllu,77,8,bhi,PART
1,hi_6435_gold.conllu,86,10,bhi,PART
1,hi_6435_gold.conllu,89,8,to,PART
1,hi_6435_gold.conllu,96,13,to,PART
1,hi_6435_gold.conllu,98,7,to,PART
1,hi_6435_gold.conllu,102,12,hi,PART
1,hi_6435_gold.conllu,103,11,hi,PART
1,hi_6435_gold.conllu,106,8,to,PART
1,hi_6435_gold.conllu,109,16,hi,PART
1,hi_6435_gold.conllu,113,20,to,PART
1,hi_6435_gold.conllu,120,15,to,PART
1,hi_6435_gold.conllu,121,11,na,PART
1,hi_6435_gold.conllu,122,6,to,PART
1,hi_6435_gold.conllu,126,9,to,PART
1,hi_6435_gold.conllu,128,14,na,PART
1,hi_6435_gold.conllu,135,8,bhi,PART
1,hi_6435_gold.conllu,136,21,to,PART
1,hi_6435_gold.conllu,142,11,bhi,PART
1,hi_6435_gold.conllu,143,10,to,PART
1,hi_6435_gold.conllu,145,15,hi,PART
1,hi_6435_gold.conllu,146,8,bhi,PART
1,hi_6435_gold.conllu,149,12,bhi,PART
1,hi_6435_gold.conllu,164,20,to,PART
1,hi_6435_gold.conllu,168,5,to,PART
1,hi_6435_gold.conllu,171,6,to,PART
1,hi_6435_gold.conllu,172,5,to,PART
1,hi_6435_gold.conllu,189,14,hi,PART
1,hi_6435_gold.conllu,191,13,hi,PART
1,hi_6435_gold.conllu,194,15,to,PART
1,hi_6435_gold.conllu,199,8,to,PART
1,hi_6435_gold.conllu,201,8,hi,PART
1,hi_6435_gold.conllu,208,6,bhi,PART
1,hi_6435_gold.conllu,209,12,to,PART
1,hi_6435_gold.conllu,211,11,to,PART
1,hi_6435_gold.conllu,218,11,bhi,PART
1,hi_6435_gold.conllu,224,12,to,PART
1,hi_6435_gold.conllu,226,15,to,PART
1,hi_6435_gold.conllu,227,13,to,PART
1,hi_6435_gold.conllu,231,12,to,PART
1,hi_6435_gold.conllu,233,7,to,PART
1,hi_6435_gold.conllu,234,12,to,PART
1,hi_6435_gold.conllu,237,10,bhi,PART
1,hi_6435_gold.conllu,240,12,na,PART
1,hi_6435_gold.conllu,248,18,na,PART
1,hi_6435_gold.conllu,250,5,hi,PART
1,hi_6435_gold.conllu,257,7,to,PART
1,hi_6435_gold.conllu,263,10,hi,PART
1,hi_6435_gold.conllu,268,7,to,PART
1,hi_6435_gold.conllu,274,17,to,PART
1,hi_6435_gold.conllu,277,7,to,PART
1,hi_6435_gold.conllu,278,7,bhi,PART
1,hi_6435_gold.conllu,280,15,to,PART
1,hi_6435_gold.conllu,284,6,hi,PART
1,hi_6435_gold.conllu,286,7,to,PART
1,hi_6435_gold.conllu,288,6,to,PART
1,hi_6435_gold.conllu,296,8,hi,PART
1,hi_6435_gold.conllu,298,6,hi,PART
1,hi_6435_gold.conllu,299,6,bhi,PART
1,hi_6435_gold.conllu,301,10,to,PART
1,hi_6435_gold.conllu,303,10,bhi,PART
1,hi_6435_gold.conllu,307,9,bhi,PART
1,hi_6435_gold.conllu,311,6,to,PART
1,hi_6435_gold.conllu,312,5,to,PART
1,hi_6435_gold.conllu,318,17,hi,PART
1,hi_6435_gold.conllu,331,16,hi,PART
1,hi_6435_gold.conllu,332,17,hi,PART
1,hi_6435_gold.conllu,336,9,na,PART
1,hi_6435_gold.conllu,341,4,na,PART
1,hi_6435_gold.conllu,352,7,bhi,PART
1,hi_6435_gold.conllu,357,7,bhi,PART
1,hi_6435_gold.conllu,363,9,to,PART
1,hi_6435_gold.conllu,371,11,bhi,PART
1,hi_6435_gold.conllu,372,9,bhi,PART
1,hi_6435_gold.conllu,373,12,to,PART
1,hi_6435_gold.conllu,380,3,bhi,PART
1,hi_6435_gold.conllu,400,11,bhi,PART
1,hi_6435_gold.conllu,401,7,bhi,PART
1,hi_6435_gold.conllu,403,10,na,PART
1,hi_6435_gold.conllu,405,7,na,PART
1,hi_6435_gold.conllu,424,10,hi,PART
1,hi_6435_gold.conllu,426,14,bhi,PART
1,hi_6435_gold.conllu,437,5,hi,PART
1,hi_6435_gold.conllu,442,12,bhi,PART
1,hi_6435_gold.conllu,447,9,to,PART
1,hi_6435_gold.conllu,458,6,to,PART
1,hi_6435_gold.conllu,463,12,na,PART
1,hi_6435_gold.conllu,466,14,hi,PART
1,hi_6435_gold.conllu,471,7,to,PART
1,hi_6435_gold.conllu,475,9,to,PART
1,hi_6435_gold.conllu,486,10,na,PART
1,hi_6435_gold.conllu,487,7,hi,PART
1,hi_6435_gold.conllu,488,14,bhi,PART
1,hi_6435_gold.conllu,496,10,hi,PART
1,hi_6435_gold.conllu,503,9,na,PART
1,hi_6435_gold.conllu,519,9,hi,PART
1,hi_6435_gold.conllu,520,15,to,PART
1,hi_6435_gold.conllu,533,11,bhi,PART
1,hi_6435_gold.conllu,537,4,bhi,PART
1,hi_6435_gold.conllu,543,11,to,PART
1,hi_6435_gold.conllu,548,14,hi,PART
1,hi_6435_gold.conllu,554,12,to,PART
1,hi_6435_gold.conllu,558,9,hi,PART
1,hi_6435_gold.conllu,563,9,to,PART
1,hi_6435_gold.conllu,565,7,to,PART
1,hi_6435_gold.conllu,576,7,hi,PART
1,hi_6435_gold.conllu,578,8,to,PART
1,hi_6435_gold.conllu,579,12,hi,PART
1,hi_6435_gold.conllu,580,10,hi,PART
1,hi_6435_gold.conllu,585,13,na,PART
1,hi_6435_gold.conllu,591,14,hi,PART
1,hi_6435_gold.conllu,592,12,hi,PART
1,hi_6435_gold.conllu,596,9,bhi,PART
1,hi_6435_gold.conllu,597,9,to,PART
1,hi_6435_gold.conllu,604,10,to,PART
1,hi_6435_gold.conllu,606,23,bhi,PART
1,hi_6435_gold.conllu,613,5,to,PART
1,hi_6435_gold.conllu,614,11,to,PART
1,hi_6435_gold.conllu,625,10,to,PART
1,hi_6435_gold.conllu,627,6,hi,PART
1,hi_6435_gold.conllu,641,11,bhi,PART
1,hi_6435_gold.conllu,647,11,na,PART
1,hi_6435_gold.conllu,651,7,hi,PART
1,hi_6435_gold.conllu,654,8,na,PART
1,hi_6435_gold.conllu,661,5,hi,PART
1,hi_6435_gold.conllu,669,9,to,PART
1,hi_6435_gold.conllu,679,14,bhi,PART
1,hi_6435_gold.conllu,684,7,to,PART
1,hi_6435_gold.conllu,685,7,hi,PART
1,hi_6435_gold.conllu,691,9,to,PART
1,hi_6435_gold.conllu,693,5,bhi,PART
1,hi_6435_gold.conllu,699,9,to,PART
1,hi_6435_gold.conllu,709,10,to,PART
1,hi_6435_gold.conllu,727,11,bhi,PART
1,hi_6435_gold.conllu,728,7,hi,PART
1,hi_6435_gold.conllu,730,10,na,PART
1,hi_6435_gold.conllu,740,8,to,PART
1,hi_6435_gold.conllu,745,9,to,PART
1,hi_6435_gold.conllu,751,6,hi,PART
1,hi_6435_gold.conllu,753,13,hi,PART
1,hi_6435_gold.conllu,755,8,na,PART
1,hi_6435_gold.conllu,757,3,to,PART
1,hi_6435_gold.conllu,767,13,hi,PART
1,hi_6435_gold.conllu,769,9,hi,PART
1,hi_6435_gold.conllu,771,8,hi,PART
1,hi_6435_gold.conllu,776,13,na,PART
1,hi_6435_gold.conllu,778,14,na,PART
1,hi_6435_gold.conllu,783,22,to,PART
1,hi_6435_gold.conllu,784,9,bhi,PART
1,hi_6435_gold.conllu,788,5,hi,PART
1,hi_6435_gold.conllu,789,8,to,PART
1,hi_6435_gold.conllu,793,9,to,PART
1,hi_6435_gold.conllu,796,8,hi,PART
1,hi_6435_gold.conllu,807,17,na,PART
1,hi_6435_gold.conllu,811,10,to,PART
1,hi_6435_gold.conllu,821,6,to,PART
1,hi_6435_gold.conllu,822,9,to,PART
1,hi_6435_gold.conllu,824,10,to,PART
1,hi_6435_gold.conllu,829,11,to,PART
1,hi_6435_gold.conllu,831,12,hi,PART
1,hi_6435_gold.conllu,837,16,to,PART
1,hi_6435_gold.conllu,838,11,bhi,PART
1,hi_6435_gold.conllu,840,9,bhi,PART
1,hi_6435_gold.conllu,856,11,to,PART
1,hi_6435_gold.conllu,868,12,to,PART
1,hi_6435_gold.conllu,887,8,to,PART
1,hi_6435_gold.conllu,891,7,to,PART
1,hi_6435_gold.conllu,898,8,to,PART
1,hi_6435_gold.conllu,900,5,hi,PART
1,hi_6435_gold.conllu,901,10,hi,PART
1,hi_6435_gold.conllu,904,8,hi,PART
1,hi_6435_gold.conllu,906,9,to,PART
1,hi_6435_gold.conllu,910,12,to,PART
1,hi_6435_gold.conllu,917,8,bhi,PART
1,hi_6435_gold.conllu,924,11,to,PART
1,hi_6435_gold.conllu,926,12,hi,PART
1,hi_6435_gold.conllu,927,13,hi,PART
1,hi_6435_gold.conllu,940,10,na,PART
1,hi_6435_gold.conllu,950,6,to,PART
1,hi_6435_gold.conllu,954,7,bhi,PART
1,hi_6435_gold.conllu,958,6,hi,PART
1,hi_6435_gold.conllu,979,7,na,PART
1,hi_6435_gold.conllu,980,7,na,PART
1,hi_6435_gold.conllu,995,6,bhi,PART
1,hi_6435_gold.conllu,997,7,to,PART
1,hi_6441_gold.conllu,72,21,hi,PART
1,hi_6441_gold.conllu,73,6,hi,PART
1,hi_6441_gold.conllu,77,6,hi,PART
1,hi_6441_gold.conllu,78,6,hi,PART
1,hi_6441_gold.conllu,81,16,hi,PART
1,hi_6441_gold.conllu,82,7,hi,PART
1,hi_6441_gold.conllu,83,8,hi,PART
1,hi_6441_gold.conllu,122,10,bhi,PART
1,hi_6441_gold.conllu,127,9,bhi,PART
1,hi_6441_gold.conllu,128,3,bhi,PART
1,hi_6441_gold.conllu,130,4,bhi,PART
1,hi_6441_gold.conllu,144,23,bhi,PART
1,hi_6441_gold.conllu,145,5,bhi,PART
1,hi_6441_gold.conllu,171,19,bhi,PART
1,hi_6441_gold.conllu,172,11,hi,PART
1,hi_6441_gold.conllu,173,16,hi,PART
1,hi_6441_gold.conllu,186,18,bhi,PART
1,hi_6441_gold.conllu,215,7,bhi,PART
1,hi_6441_gold.conllu,218,7,bhi,PART
1,hi_6441_gold.conllu,219,7,bhi,PART
1,hi_6441_gold.conllu,241,4,bhi,PART
1,hi_6441_gold.conllu,350,7,bhi,PART
1,hi_6441_gold.conllu,370,4,to,PART
1,hi_6441_gold.conllu,371,5,to,PART
1,hi_6441_gold.conllu,393,10,na,PART
1,hi_6441_gold.conllu,421,33,to,PART
1,hi_6441_gold.conllu,430,42,to,PART
1,hi_6441_gold.conllu,440,10,bhi,PART
1,hi_6441_gold.conllu,452,6,to,PART
1,hi_6441_gold.conllu,457,8,hi,PART
1,hi_6441_gold.conllu,460,9,to,PART
1,hi_6441_gold.conllu,473,10,to,PART
1,hi_6441_gold.conllu,496,5,bhi,PART
1,hi_6441_gold.conllu,499,12,bhi,PART
1,hi_6441_gold.conllu,501,8,bhi,PART
1,hi_6441_gold.conllu,514,11,bhi,PART
1,hi_6441_gold.conllu,516,8,bhi,PART
1,hi_6441_gold.conllu,517,6,bhi,PART
1,hi_6441_gold.conllu,540,9,bhi,PART
1,hi_6441_gold.conllu,543,15,bhi,PART
1,hi_6441_gold.conllu,574,12,bhi,PART
1,hi_6441_gold.conllu,595,6,to,PART
1,hi_6441_gold.conllu,628,9,to,PART
1,hi_6441_gold.conllu,632,9,hi,PART
1,hi_6441_gold.conllu,634,10,to,PART
1,hi_6523_gold.conllu,11,23,na,PART
1,hi_6523_gold.conllu,21,7,bhi,PART
1,hi_6523_gold.conllu,27,9,bhi,PART
1,hi_6523_gold.conllu,28,24,bhi,PART
1,hi_6523_gold.conllu,44,13,to,PART
